,MSA,Year,Total,Estimated,Rate
460,"Boston-Quincy, MA M.D.",2008,83,84,4.5
461,"Boston-Quincy, MA M.D.",2009,75,75,3.9
462,"Boston-Quincy, MA M.D.",2010,111,111,5.8
463,"Boston-Quincy, MA M.D.",2011,93,94,4.9
464,"Boulder, CO ",2009,7,7,2.4
465,"Boulder, CO ",2010,7,7,2.3
466,"Boulder, CO ",2011,4,4,1.3
467,"Boulder, CO ",2012,0,0,0
468,"Boulder, CO ",2013,0,2,0.6
469,"Boulder, CO ",2014,5,6,1.9
470,"Boulder, CO ",2015,3,3,0.9
471,"Boulder, CO ",2016,1,1,0.3
472,"Bowling Green, KY ",2006,5,5,4.5
473,"Bowling Green, KY ",2007,1,1,0.9
474,"Bowling Green, KY ",2008,0,0,0
475,"Bowling Green, KY ",2009,3,3,2.5
476,"Bowling Green, KY ",2010,0,0,0
477,"Bowling Green, KY ",2011,3,3,2.4
478,"Bowling Green, KY ",2012,4,4,2.5
479,"Bowling Green, KY ",2013,2,2,1.2
480,"Bowling Green, KY ",2014,1,1,0.6
481,"Bowling Green, KY ",2015,1,1,0.6
482,"Bowling Green, KY ",2016,6,6,3.5
483,"Bradenton-Sarasota-Venice, FL ",2007,43,43,6.2
484,"Bradenton-Sarasota-Venice, FL ",2008,28,28,4
485,"Bremerton-Silverdale, WA ",2006,3,3,1.2
486,"Bremerton-Silverdale, WA ",2007,1,1,0.4
487,"Bremerton-Silverdale, WA ",2008,5,5,2.1
488,"Bremerton-Silverdale, WA ",2009,4,4,1.7
489,"Bremerton-Silverdale, WA ",2010,1,1,0.4
490,"Bremerton-Silverdale, WA ",2011,3,3,1.2
491,"Bremerton-Silverdale, WA ",2012,5,5,1.9
492,"Bremerton-Silverdale, WA ",2013,2,2,0.8
493,"Bremerton-Silverdale, WA ",2014,7,7,2.7
494,"Bremerton-Silverdale, WA ",2015,8,8,3.1
495,"Bremerton-Silverdale, WA ",2016,1,1,0.4
496,"Bridgeport-Stamford-Norwalk, CT ",2007,23,23,2.6
497,"Bridgeport-Stamford-Norwalk, CT ",2008,34,34,3.9
498,"Bridgeport-Stamford-Norwalk, CT ",2009,18,18,2
499,"Bridgeport-Stamford-Norwalk, CT ",2010,34,34,3.8
500,"Bridgeport-Stamford-Norwalk, CT ",2011,32,32,3.6
501,"Bridgeport-Stamford-Norwalk, CT ",2012,33,33,3.6
502,"Bridgeport-Stamford-Norwalk, CT ",2013,14,14,1.5
503,"Bridgeport-Stamford-Norwalk, CT ",2014,18,18,1.9
