GEOID,MSA,year,pct_enroll_public,pct_enroll_private,pct5_9_enroll,pct10_14_enroll,pct15_17_enroll,pct18_19_enroll
310M200US11640,11640,2014,73.09999999999999,26.9,96.3,99.5,92.5,76.2
310M200US11640,11640,2015,71.7,28.3,93.09999999999999,99.3,97.2,76.7
310M300US11640,11640,2016,68.7,31.3,96.90000000000001,98.90000000000001,94.8,82.2
3100000US11700,11700,2006,82.59999999999999,17.4,91.90000000000001,99.2,96.8,69.2
3100000US11700,11700,2007,83.3,16.7,92.59999999999999,95.3,91.8,71.90000000000001
3100000US11700,11700,2008,81.40000000000001,18.6,50.6,95.5,99.59999999999999,98.90000000000001
3100000US11700,11700,2009,80.40000000000001,19.6,54.8,94,97.90000000000001,93.59999999999999
310M100US11700,11700,2010,82.8,17.2,95.3,99.7,90.5,73.7
310M100US11700,11700,2011,83.5,16.5,90,98.40000000000001,92.59999999999999,79.90000000000001
310M100US11700,11700,2012,86.09999999999999,13.9,88.59999999999999,99,97.5,71.90000000000001
310M200US11700,11700,2013,85.7,14.3,93.8,99.8,97.59999999999999,79.2
310M200US11700,11700,2014,83.90000000000001,16.1,95.5,99.2,98.3,79.90000000000001
310M200US11700,11700,2015,86.40000000000001,13.6,94.59999999999999,97.3,94.59999999999999,73.09999999999999
310M300US11700,11700,2016,81.90000000000001,18.1,94.3,98.09999999999999,96.90000000000001,69.59999999999999
3100000US11780,11780,2006,83.8,16.2,98.40000000000001,95,96.90000000000001,72.59999999999999
3100000US11780,11780,2007,87.8,12.2,95.90000000000001,94.2,97.7,65.90000000000001
3100000US11780,11780,2008,89.40000000000001,10.6,36.8,96.90000000000001,96,98.90000000000001
3100000US11780,11780,2009,86.90000000000001,13.1,35.8,90.90000000000001,94.7,94.2
310M100US11780,11780,2010,87.7,12.3,94.8,97.09999999999999,100,52.9
310M100US11780,11780,2011,87.90000000000001,12.1,95.90000000000001,96.3,94.40000000000001,72.3
310M100US11780,11780,2012,90.40000000000001,9.6,94.40000000000001,96.59999999999999,98.3,64.90000000000001
310M200US11780,11780,2013,84.3,15.7,94,92.59999999999999,98.59999999999999,63.5
310M200US11780,11780,2014,86.5,13.5,93.2,97.8,98.7,72.59999999999999
310M200US11780,11780,2015,81.5,18.5,86.90000000000001,96.3,79.09999999999999,40.5
310M300US11780,11780,2016,85.3,14.7,88.90000000000001,97.5,97.2,69.7
310M200US11900,11900,2015,95.7,4.3,95.09999999999999,100,100,93.5
310M300US11900,11900,2016,95.59999999999999,4.4,100,98,97.59999999999999,94.3
3100000US11980,11980,2006,94.8,5.2,90.3,94.90000000000001,90.3,65
3100000US11980,11980,2007,92,8,93.09999999999999,98.09999999999999,97.8,62.7
3100000US11980,11980,2008,91.90000000000001,8.1,31.8,94,100,100
3100000US11980,11980,2009,94.5,5.5,21.3,96.2,97.59999999999999,100
310M100US11980,11980,2010,91.7,8.300000000000001,99.40000000000001,99.3,83,64.3
310M100US11980,11980,2011,95.40000000000001,4.6,93.40000000000001,97,95.2,54.7
310M100US11980,11980,2012,85.7,14.3,93.40000000000001,95.40000000000001,92.8,49.3
310M200US11980,11980,2013,92.2,7.8,96.2,98.3,96.09999999999999,44.6
310M200US11980,11980,2014,94.40000000000001,5.6,86,99.3,96.09999999999999,71.40000000000001
310M200US11980,11980,2015,97.2,2.8,96.59999999999999,98.7,88.8,74.40000000000001
310M300US11980,11980,2016,94.40000000000001,5.6,97.09999999999999,99.59999999999999,98.3,67.09999999999999
3100000US12020,12020,2006,90.7,9.300000000000001,96.3,98.09999999999999,92.90000000000001,90.5
3100000US12020,12020,2007,87.3,12.7,94.59999999999999,98.5,91.40000000000001,91
3100000US12020,12020,2008,89.40000000000001,10.6,49.9,97.90000000000001,96.8,94.3
3100000US12020,12020,2009,90,10,62.9,98.59999999999999,98.8,96.5
310M100US12020,12020,2010,90.40000000000001,9.6,96.59999999999999,96.7,93.5,84.8
310M100US12020,12020,2011,92.3,7.7,95.7,98.09999999999999,96,90
310M100US12020,12020,2012,89.90000000000001,10.1,99,99,96.8,92.8
310M200US12020,12020,2013,91.5,8.5,98.09999999999999,95.3,98.09999999999999,96.5
310M200US12020,12020,2014,88.09999999999999,11.9,96.90000000000001,97.90000000000001,93.8,89
310M200US12020,12020,2015,93.3,6.7,97.40000000000001,98.7,98.7,90.8
310M300US12020,12020,2016,90.59999999999999,9.4,97.8,98.2,100,84.7
3100000US12060,12060,2006,81.59999999999999,18.4,95.09999999999999,98.40000000000001,95,69.3
3100000US12060,12060,2007,81.3,18.7,95.8,98.5,95.40000000000001,70.2
3100000US12060,12060,2008,80.8,19.2,57,96.2,98.3,96.59999999999999
3100000US12060,12060,2009,80.90000000000001,19.1,56.1,96.5,98.90000000000001,96.2
310M100US12060,12060,2010,82.09999999999999,17.9,96.40000000000001,98,96.8,72.90000000000001
310M100US12060,12060,2011,83.09999999999999,16.9,96.3,98.2,97.2,75.2
310M100US12060,12060,2012,83,17,96.7,98.7,97.09999999999999,73.7
310M200US12060,12060,2013,83.2,16.8,96.3,98.40000000000001,96.40000000000001,73.90000000000001
310M200US12060,12060,2014,84.09999999999999,15.9,96.8,99.09999999999999,96.8,73.5
310M200US12060,12060,2015,83.7,16.3,96,98.5,96.2,71.40000000000001
310M300US12060,12060,2016,83.7,16.3,96.5,98.40000000000001,96.59999999999999,73.5
3100000US12100,12100,2006,87,13,95.5,97,95.3,81.3
3100000US12100,12100,2007,84.8,15.2,95.09999999999999,94.5,94.09999999999999,76.09999999999999
3100000US12100,12100,2008,87.59999999999999,12.4,58.9,96,99.3,97.09999999999999
3100000US12100,12100,2009,86.59999999999999,13.4,47.4,97,97.7,96
310M100US12100,12100,2010,85.8,14.2,95.90000000000001,96.5,94.59999999999999,67.2
310M100US12100,12100,2011,81.3,18.7,95.59999999999999,98,97.8,74.59999999999999
310M100US12100,12100,2012,85.8,14.2,94.40000000000001,97.3,92.8,71
310M200US12100,12100,2013,87,13,95.8,99.09999999999999,96.2,73.2
310M200US12100,12100,2014,90,10,95.59999999999999,98.09999999999999,96.59999999999999,69.40000000000001
310M200US12100,12100,2015,88.59999999999999,11.4,97.2,98.8,98.09999999999999,71.59999999999999
310M300US12100,12100,2016,85.3,14.7,98.5,99.7,99.2,78.7
3100000US12180,12180,2006,89.5,10.5,97.40000000000001,98.09999999999999,92.5,79.2
3100000US12180,12180,2007,85,15,95.5,97,91.09999999999999,66
3100000US12180,12180,2008,82.8,17.2,48.4,93.90000000000001,100,98.7
3100000US12180,12180,2009,70.09999999999999,29.9,54.9,97.40000000000001,99.40000000000001,92.2
310M100US12180,12180,2010,86.09999999999999,13.9,98.8,100,98.3,51.4
310M100US12180,12180,2011,85.09999999999999,14.9,92.90000000000001,97.2,94.7,64.7
