GEOID,MSA,year,income10lo,income10_15,income15_25,income25_35,income35_50,income50_75,income75_100,income100_150,income150_200,income200up,income_median,income_mean
3100000US11260,11260,2008,2.7,2.2,4.6,7.5,13.8,19.1,17.4,19.7,7,5.9,75035,91457
3100000US11260,11260,2009,3.8,2.5,6.2,8.1,12.6,19.1,17.4,17.6,7.2,5.5,72712,86955
310M100US11260,11260,2010,3.8,4.5,7.4,8.199999999999999,10,18.7,13.8,19.2,7.4,7,71490,89414
310M100US11260,11260,2011,3.4,3.2,5.9,7.4,13.5,19.3,16.1,17.4,8.300000000000001,5.6,71700,89074
310M100US11260,11260,2012,3.3,3.6,8.1,6.9,11.8,18.4,13.8,19.1,8.300000000000001,6.8,71494,90056
310M200US11260,11260,2013,2.8,3,5.6,5.5,12.1,19.1,15.6,20.2,8.9,7.2,76831,96026
310M200US11260,11260,2014,3.3,3,6.7,6.7,10.7,19.2,13.7,21.3,8.300000000000001,7.2,75682,94657
310M200US11260,11260,2015,3.6,2.7,5.7,7.5,11.6,16.6,14.5,20.8,9.4,7.8,78238,101231
310M300US11260,11260,2016,2.9,2.8,5.6,6.4,10,17.5,14.5,20.6,10.3,9.4,82203,102233
3100000US11300,11300,2006,9.1,7,12.1,13.4,18.2,21.1,9.5,7.1,1.7,.7,40990,49252
3100000US11300,11300,2007,7.9,6.5,12.1,13.3,17.4,19.6,13.1,7.1,1.7,1.2,42783,53502
3100000US11300,11300,2008,7.4,7,11.2,14.3,18.1,20,12,7.4,1.6,.9,44133,54170
3100000US11300,11300,2009,8.199999999999999,5.9,13.1,13.3,19.7,20.3,10.8,6.6,1,1.1,41741,50753
310M100US11300,11300,2010,9.300000000000001,8.6,11.4,13.4,17.3,19,9.9,9,1,1.2,38772,50408
310M100US11300,11300,2011,10.2,6.7,13.1,12.9,14.9,23.4,9.199999999999999,6.7,1.6,1.4,42129,51405
310M100US11300,11300,2012,7.6,6.1,14,12.5,17.2,20.7,11.8,8,1.4,.7,42933,52297
